8,Cheese Platter,2025-06-19,Snack,18:02.5
9,Cheese Platter,2025-06-19,Snack,18:02.5,48:10.0,29:32.0
10,Cheese Platter,2025-05-20,Snack,20:02.5,57:32.0,48:10.0
11,Cheese Platter,2025-05-20,Snack,15:10.0,00:02.5,09:32.0
12,Cheese Platter,2025-06-10,Lunch,15:10.0,00:02.5,09:32.0
40,Steak Dinner,2025-07-13,Dinner,6118:300.00,2375:250.00,2168:300.00
41,Some Breakfast,2025-07-13,Breakfast,502551:200.00,501947:100.00
42,Salmon w/ Potatoes and B. Sprouts,2025-07-15,Dinner,2506:500.00,2379:450.00,3183:500.00
14,Chicken Lunch 1,2025-06-01,Lunch,567:210.0
15,Chicken Lunch 2,2025-06-02,Lunch,567:180.0,16:55.0,501841:88.5
16,Chicken Lunch 3,2025-06-03,Lunch,567:230.0,16:55.0,501841:88.5
17,Chicken Lunch 4,2025-06-04,Lunch,567:110.0,16:55.0,501841:88.5
18,Chicken Lunch 5,2025-06-05,Lunch,567:280.0,16:55.0,501841:88.5
19,Chicken Lunch 6,2025-06-06,Lunch,27:50.0,16:55.0,501841:88.5
